-1.9404721,2.5722734,1.4361038
-1.9413657,2.7721798,1.5665485
-1.9102734,2.9717976,1.6969933
-1.8520465,3.1664361,1.8274381
-1.7715362,3.3514050,1.9578828
-1.6735937,3.5220137,2.0883276
-1.5630701,3.6735718,2.2187724
-1.4260163,3.8191948,2.3070556
-1.2754627,3.9382075,2.3908236
-1.1111016,4.0326529,2.4745917
-0.9308250,4.1067733,2.5583597
-0.7325247,4.1648109,2.6421277
-0.5452199,4.2051362,2.6993715
-0.3613242,4.2348485,2.7426012
-0.1680625,4.2569883,2.7858309
0.0323151,4.2709125,2.8290606
0.2375584,4.2759784,2.8722903
0.4454173,4.2715428,2.9155200
0.6535478,4.2569718,2.9580710
0.8567891,4.2324570,2.9767509
1.0575087,4.1988348,2.9954308
1.2549688,4.1573820,3.0141107
1.4484310,4.1093753,3.0327906
1.6371575,4.0560917,3.0514705
1.8204100,3.9988079,3.0701504
2.0061515,3.9357139,3.0063106
2.2039316,3.8612137,2.7410301
2.3891413,3.7783329,2.4757496
2.5592175,3.6825144,2.2104691
2.7115969,3.5692014,1.9451886
2.8437165,3.4338368,1.6799081
2.9513815,3.2752028,1.5861842
3.0341943,3.0961547,1.6353715
3.0926877,2.9020978,1.6845589
3.1256893,2.7007321,1.7337462
3.1320270,2.4997577,1.7829336
3.1105284,2.3068748,1.8321209
3.0560485,2.1187356,1.9217000
2.9673705,1.9444531,2.0366093
2.8507596,1.7892836,2.1515185
2.7111373,1.6509150,2.2664278
2.5534246,1.5270352,2.3813370
2.3873848,1.4182787,2.4802338
2.2277469,1.3281554,2.5284869
2.0589997,1.2467675,2.5767399
1.8797539,1.1745776,2.6249930
1.6886202,1.1120481,2.6732460
1.4842093,1.0596417,2.7214991
1.2720619,1.0189380,2.7655907
1.0823831,0.9926567,2.7890291
0.8853128,0.9740396,2.8124676
0.6835823,0.9633680,2.8359061
0.4799225,0.9609227,2.8593445
0.2770645,0.9669851,2.8827830
0.0777396,0.9818362,2.9062215
-0.1153213,1.0057572,2.9296599
-0.3199345,1.0434113,2.8958988
-0.5197403,1.0950466,2.8422154
-0.7080444,1.1599861,2.7885320
-0.8856484,1.2386745,2.7348486
-1.0533540,1.3315565,2.6811652
-1.2119628,1.4390770,2.6274818
-1.3632247,1.5625343,2.5899855
-1.5072297,1.7031282,2.5899855
-1.6377023,1.8573307,2.5899855
-1.7504527,2.0232441,2.5899855
-1.8412910,2.1989708,2.5899855
-1.9060274,2.3826131,2.5899855
-1.9404721,2.5722734,1.4361038
